Name,Market_cap,Price,Change(24)
BitcoinZ,"$612,104",$0.000083,-2.23%
USDX,"$604,266",$0.160339,-0.07%
Uptrennd,"$601,646",$0.004166,-6.58%
HalalChain,"$601,220",$0.001546,-14.05%
Internxt,"$601,140",$0.954783,-2.18%
Coinsbit Token,"$600,940",$0.000451,4.41%
adbank,"$592,770",$0.000766,2.30%
SureRemit,"$591,669",$0.001183,0.00%
Sphere,"$591,129",$0.047350,1.18%
Fortuna,"$589,591",$0.001228,10.53%
SoMee.Social,"$588,253",$0.007146,5.40%
Dimecoin,"$583,659",$0.000001,-2.03%
DecentBet,"$574,172",$0.003044,23.37%
Faceter,"$572,431",$0.001217,2.74%
SBank,"$572,205",$0.099415,-1.70%
Insureum,"$568,869",$0.002658,-3.27%
Honest,"$563,010",$0.005986,-0.12%
QuadrantProtocol,"$561,175",$0.001567,0.00%
Skychain,"$561,003",$0.074947,1.31%
Karbo,"$560,395",$0.065453,-0.28%
PlayCoin [ERC20],"$555,911",$0.000562,2.36%
Upfiring,"$551,236",$0.025520,10.96%
Snovian.Space,"$549,646",$0.001493,-42.31%
NOW Token,"$546,070",$0.006598,-2.38%
Rivetz,"$545,104",$0.020770,0.00%
Q DAO Governance token v1.0,"$544,400",$7.80,0.00%
Gene Source Code Chain,"$543,768",$0.001449,8.62%
Zippie,"$539,283",$0.001989,4.98%
AMATEN,"$536,966",$0.071038,-0.09%
Xriba,"$532,995",$0.005324,-17.66%
Waves Community Token,"$530,726",$0.053073,0.40%
Qwertycoin,"$529,329",$0.000004,-12.22%
Phoenixcoin,"$526,291",$0.006646,0.21%
GlobalBoost-Y,"$525,215",$0.029259,0.36%
ESBC,"$522,213",$0.021873,-0.96%
Hush,"$520,746",$0.055299,-3.81%
Lisk Machine Learning,"$519,572",$0.004330,37.15%
POPCHAIN,"$519,557",$0.000582,0.00%
IQ.cash,"$517,839",$0.046031,21.48%
Shivom,"$517,674",$0.000568,0.00%
Bitcoin Plus,"$512,376",$3.58,0.00%
Bitcoin Private,"$509,930",$0.106551,6.11%
Sociall,"$507,795",$0.030381,5.76%
MineBee,"$507,773",$0.000277,0.24%
Mallcoin,"$501,272",$0.002846,-12.69%
MarketPeak,"$500,466",$0.132124,4.77%
Expanse,"$499,996",$0.026588,-0.32%
AICHAIN,"$492,168",$0.000920,0.28%
GAMB,"$490,045",$0.000127,10.01%
Crypto Sports,"$489,807",$0.178923,-14.97%
MIB Coin,"$488,144",$0.005091,-3.13%
Zap,"$483,734",$0.003678,-0.09%
Solaris,"$483,439",$0.260192,-0.10%
Olive,"$482,970",$0.001744,0.00%
FYDcoin,"$482,655",$0.001034,3.24%
Bitblocks,"$480,134",$0.002037,-4.17%
Bitcoin Free Cash,"$478,741",$0.346769,0.91%
SafeInsure,"$478,394",$0.029674,7.67%
PIXEL,"$474,025",$0.012747,0.58%
BitScreener Token,"$472,985",$0.005401,0.77%
Safex Cash,"$472,063",$0.009422,-0.20%
ATMChain,"$469,786",$0.000101,0.00%
ATN,"$466,865",$0.005538,-13.86%
Auxilium,"$465,918",$0.003953,2.76%
ImageCoin,"$463,040",$0.049395,1.77%
ZPER,"$462,098",$0.000350,-3.87%
TouchCon,"$461,992",$0.004520,0.26%
eBitcoin,"$459,561",$0.024319,0.00%
OracleChain,"$459,255",$0.015309,-2.76%
Proxeus,"$456,869",$0.002155,-0.07%
Eureka Coin,"$456,772",$0.006873,0.17%
ICE ROCK MINING,"$455,196",$0.028949,-6.96%
DECENT,"$454,433",$0.008857,4.35%
Raise,"$453,237",$0.030696,2.89%
CryCash,"$452,825",$0.094537,-1.47%
ZIMBOCASH,"$452,654",$0.004098,8.53%
Project WITH,"$452,132",$0.001348,-4.93%
NeuroChain,"$451,989",$0.001044,-1.13%
MidasProtocol,"$450,330",$0.001711,-8.28%
Typerium,"$450,318",$0.000278,0.00%
Proton Token,"$448,166",$0.000054,-9.29%
Lobstex,"$445,942",$0.022577,0.33%
HempCoin,"$444,924",$0.001729,8.29%
Arbidex,"$444,817",$0.021853,3.85%
MEXC Token,"$444,525",$0.000473,-8.57%
Shift,"$443,929",$0.032028,-2.13%
Coinsuper Ecosystem Network,"$443,185",$0.001236,0.94%
Sentient Coin,"$443,086",$0.000328,-13.65%
Patientory,"$442,982",$0.006328,1.98%
SIBCoin,"$438,491",$0.023664,-2.43%
BitCash,"$436,424",$0.019660,1.14%
Maximine Coin,"$435,781",$0.000264,9.30%
BitBall,"$434,187",$0.002248,5.35%
Playkey,"$434,158",$0.030735,2.04%
Cashbery Coin,"$434,091",$0.006461,-3.90%
Nebula AI,"$433,609",$0.000346,-0.29%
OVCODE,"$433,397",$0.009838,0.00%
WinStars.live,"$432,255",$0.022826,-3.04%
WeTrust,"$432,103",$0.004689,1.41%
Lendingblock,"$428,792",$0.000545,7.13%
DATx,"$428,433",$0.000308,0.42%
SPINDLE,"$426,058",$0.000121,5.52%
TraDove B2BCoin,"$425,849",$0.000852,-4.69%
Cryptobuyer,"$425,111",$0.007471,0.51%
Pylon Network,"$424,582",$0.774302,-2.78%
Niobium Coin,"$423,051",$0.006831,3.84%
EXMR FDN,"$419,604",$0.066490,0.54%
Novacoin,"$419,322",$0.179523,-0.87%
BitCrystals,"$417,879",$0.018315,0.00%
Membrana,"$417,058",$0.003005,13.56%
Tokenbox,"$416,962",$0.033066,24.34%
Alchemint Standards,"$414,638",$0.001304,21.59%
RedFOX Labs,"$413,733",$0.003052,8.84%
Electrify.Asia,"$412,806",$0.000779,16.67%
TEAM (TokenStars),"$412,461",$0.034570,-7.35%
HiCoin,"$409,605",$0.000092,0.29%
Quiztok,"$409,392",$0.012660,0.46%
CVCoin,"$408,319",$0.032980,1.41%
Trinity Network Credit,"$405,936",$0.001218,3.48%
GMB,"$405,713",$0.000784,-5.38%
Swace,"$404,301",$0.000788,-3.40%
Epic Cash,"$403,574",$0.050723,2.59%
RED,"$403,553",$0.003104,12.80%
Orbitcoin,"$402,195",$0.124881,0.28%
Zeepin,"$399,376",$0.000799,14.12%
CrypticCoin,"$397,321",$0.000156,-15.80%
Enecuum,"$397,267",$0.007886,1.27%
BitBall,"$397,134",$0.002056,-3.73%
XEL,"$389,238",$0.004246,4.78%
Birake,"$386,813",$0.004398,11.53%
Bob's Repair,"$385,914",$0.002101,-11.83%
CryptoCarbon,"$385,142",$0.015599,-0.98%
EurocoinToken,"$382,264",$0.090070,0.00%
TrumpCoin,"$380,849",$0.057666,99.11%
BZEdge,"$380,738",$0.000127,0.11%
DABANKING,"$380,606",$0.073863,4.80%
Maecenas,"$380,497",$0.005891,0.63%
WebDollar,"$379,193",$0.000038,-0.08%
DPRating,"$378,959",$0.000147,0.57%
Infinitus Token,"$377,165",$0.027763,-1.07%
Evedo,"$374,275",$0.028054,20.25%
Swap,"$373,024",$0.042687,2.10%
BiblePay,"$372,831",$0.000156,-10.26%
Graviocoin,"$371,354",$0.000324,-7.88%
Winco,"$371,019",$0.000772,0.00%
Golos Blockchain,"$370,722",$0.001478,1.16%
BUZZCoin,"$369,199",$0.000018,0.22%
BitDegree,"$367,528",$0.000956,0.07%
Eristica,"$365,655",$0.002120,-28.15%
Sentinel Chain,"$364,380",$0.001847,-1.05%
Playgroundz,"$364,352",$0.012764,-0.08%
HashCoin,"$362,606",$0.000028,16.76%
0xcert,"$357,896",$0.001045,3.05%
Blockparty (BOXX Token),"$355,981",$0.010969,76.09%
PANTHEON X,"$354,469",$0.003548,1.00%
ODUWA,"$350,400",$0.149116,-0.73%
TigerCash,"$349,544",$0.006242,-0.10%
DACSEE,"$349,376",$0.000463,0.00%
Noir,"$348,431",$0.017140,-1.02%
AidCoin,"$346,908",$0.007575,4.79%
VeriumReserve,"$346,640",$0.122020,0.80%
Zen Protocol,"$345,652",$0.015270,26.84%
Datawallet,"$343,620",$0.000881,-0.01%
Vodi X,"$342,061",$0.000640,1.40%
AllSafe,"$341,744",$0.037368,23.89%
JET8,"$341,174",$0.000461,5.48%
Ink,"$340,886",$0.000735,2.54%
Vites,"$340,242",$0.000009,0.65%
Zeitcoin,"$338,287",$0.000009,0.00%
AtromG8,"$338,210",$0.026656,-8.66%
FortKnoxster,"$337,705",$0.002265,3.93%
Swarm City,"$336,280",$0.039395,16.98%
Ties.DB,"$335,331",$0.008215,8.96%
Megacoin,"$333,998",$0.008584,-17.53%
HEROcoin,"$330,625",$0.001759,-0.25%
Freicoin,"$327,264",$0.005811,0.05%
Trittium,"$326,744",$0.002535,-3.39%
LocalCoinSwap,"$325,112",$0.006200,0.00%
TV-TWO,"$324,915",$0.000727,5.45%
ZENZO,"$323,821",$0.023889,1.09%
Blue Protocol,"$323,393",$0.008825,1.39%
FLIP,"$322,137",$0.005757,-1.42%
BetterBetting,"$321,901",$0.001129,6.38%
TrueFeedBack,"$320,711",$0.000149,-3.71%
HUNT,"$319,622",$0.002896,-0.60%
On.Live,"$319,432",$0.014773,0.14%
ION,"$318,158",$0.023715,15.99%
Jarvis+,"$317,660",$0.003374,1.55%
BioCoin,"$317,330",$0.000375,0.00%
The ChampCoin,"$314,120",$0.001787,-0.38%
HOQU,"$313,769",$0.001855,-0.83%
Qbao,"$313,198",$0.004793,4.50%
Actinium,"$310,161",$0.013876,-4.46%
Paytomat,"$309,765",$0.001866,-0.32%
EverGreenCoin,"$309,414",$0.021596,0.21%
GoldFund,"$307,597",$0.001996,-9.14%
Qredit,"$307,282",$0.000458,20.62%
adToken,"$306,317",$0.000386,11.53%
FlypMe,"$306,073",$0.017352,7.94%
FedoraCoin,"$305,591",$0.000001,0.14%
EBCoin,"$304,706",$0.000066,59.57%
CoinFi,"$304,356",$0.001440,7.17%
Master Contract Token,"$302,118",$0.000532,0.01%
IDEX Membership,"$301,865",$150.93,-3.11%
Alphacat,"$300,113",$0.000108,-8.66%
Monarch,"$299,802",$0.008444,0.00%
Smartshare,"$299,731",$0.000065,3.43%
SpectrumCash,"$299,719",$0.000092,0.21%
Hacken Token,"$298,754",$0.006503,-9.15%
Ulord,"$298,429",$0.004115,-0.44%
MyWish,"$298,147",$0.031232,2.10%
Manna,"$295,965",$0.000448,-62.86%
Memetic / PepeCoin,"$295,036",$0.009876,2.13%
Decentralized Machine Learning,"$291,567",$0.001068,11.03%
TrezarCoin,"$290,685",$0.001366,-3.01%
Rapidz,"$289,127",$0.000319,-43.28%
VeriSafe,"$287,173",$0.000026,-22.17%
PTON,"$286,871",$0.000019,0.11%
XPA,"$286,746",$0.005015,0.00%
Bridge Protocol,"$283,850",$0.001267,-13.93%
Bittwatt,"$283,366",$0.000923,-8.89%
OLXA,"$281,185",$0.000207,-4.09%
NANJCOIN,"$280,263",$0.000014,0.00%
Starbase,"$279,748",$0.001492,-29.29%
Ouroboros,"$278,117",$0.008886,-0.12%
VouchForMe,"$277,205",$0.001203,0.43%
LanaCoin,"$277,065",$0.000160,0.25%
Martkist,"$276,424",$0.023935,-1.11%
ExclusiveCoin,"$275,453",$0.047073,0.50%
Zeusshield,"$275,037",$0.000235,1.46%
Trollcoin,"$273,581",$0.000461,0.22%
Zilla,"$271,361",$0.004523,2.31%
Digital Insurance Token,"$269,488",$0.001200,0.35%
wave edu coin,"$268,888",$0.001907,47.09%
View,"$268,807",$0.007661,-1.37%
TOKPIE,"$266,515",$0.014530,0.29%
Block-Logic,"$263,335",$0.011500,5.26%
FujiCoin,"$262,107",$0.000092,-1.52%
IP Exchange,"$261,166",$0.000277,-1.46%
Ethereum Gold,"$257,761",$0.012760,-26.16%
Essentia,"$256,375",$0.000293,16.20%
Neutron,"$255,958",$0.006543,0.06%
Helix,"$255,002",$0.009323,-2.19%
Motocoin,"$254,182",$0.012940,0.00%
Minereum,"$253,949",$0.026859,-1.12%
KekCoin,"$251,693",$0.023487,0.01%
GoByte,"$248,566",$0.033835,-1.84%
Internet of People,"$248,498",$0.018460,0.69%
Friendz,"$248,153",$0.000474,-1.47%
EncryptoTel [WAVES],"$246,592",$0.003969,0.22%
Social Send,"$245,659",$0.004523,-10.72%
HelloGold,"$244,506",$0.000930,-3.61%
Privatix,"$243,627",$0.222105,-3.45%
Giant,"$241,438",$0.030333,-7.31%
savedroid,"$241,323",$0.000090,0.00%
Thrive Token,"$237,950",$0.002305,0.21%
Bitzeny,"$237,293",$0.003138,-2.64%
Pakcoin,"$234,257",$0.003415,-6.96%
Nerva,"$234,039",$0.013753,3.89%
CREDIT,"$233,452",$0.000011,22.32%
Jetcoin,"$231,507",$0.029349,-4.02%
StarCoin,"$230,872",$0.000153,0.00%
Ubricoin,"$229,870",$0.000098,-38.74%
Omnitude,"$228,937",$0.003532,0.22%
Leadcoin,"$227,925",$0.000291,5.66%
Masari,"$227,730",$0.016315,-3.15%
IXT,"$226,459",$0.006329,26.23%
Max Property Group,"$226,240",$0.001591,0.66%
Indorse Token,"$226,195",$0.006035,9.57%
x42 Protocol,"$223,373",$0.011999,-2.01%
Bancacy,"$223,248",$0.001661,-18.53%
OWNDATA,"$222,231",$0.000020,0.63%
Opus,"$219,412",$0.001566,0.16%
Ink Protocol,"$217,849",$0.000528,16.43%
KuboCoin,"$217,561",$0.000002,0.11%
Crowd Machine,"$216,899",$0.000461,0.51%
Coinlancer,"$214,236",$0.002691,0.00%
Celeum,"$212,573",$0.047798,-2.00%
Birdchain,"$209,853",$0.001296,-1.64%
Scorum Coins,"$208,611",$0.007128,23.20%
Jobchain,"$207,412",$0.000050,-0.30%
Maverick Chain,"$207,274",$0.001938,2.39%
CryptoPing,"$206,835",$0.022983,1.08%
MyBit,"$205,712",$0.001336,-0.72%
Patron,"$204,766",$0.000520,0.76%
UpToken,"$204,620",$0.001396,0.00%
Equal,"$204,463",$0.000617,-6.82%
DIMCOIN,"$203,009",$0.000097,0.00%
Ryo Currency,"$202,132",$0.009294,-4.30%
CryptoBonusMiles,"$200,419",$0.000040,0.52%
EventChain,"$199,494",$0.006384,-0.09%
Bounty0x,"$199,130",$0.000856,-1.52%
Cubiex,"$198,589",$0.002482,-5.77%
Devery,"$195,987",$0.003115,2.85%
DubaiCoin,"$194,384",$0.045596,-3.49%
DopeCoin,"$194,126",$0.001661,12.73%
Bitcoin Incognito,"$193,655",$0.014860,1.30%
BlitzPredict,"$191,758",$0.000508,0.12%
Ether-1,"$190,468",$0.004047,1.16%
AC3,"$189,561",$0.000386,0.00%
Zennies,"$187,948",$0.000188,0.00%
Adelphoi,"$187,440",$0.009045,7.54%
CoinUs,"$185,809",$0.000546,-3.29%
BoutsPro,"$184,223",$0.002405,5.93%
BeatzCoin,"$184,184",$0.000120,-37.96%
eXPerience Chain,"$183,740",$0.000002,-5.76%
Aston,"$183,153",$0.000222,0.00%
TrueDeck,"$182,470",$0.005940,4.62%
GoNetwork,"$182,060",$0.002529,0.08%
Maxcoin,"$181,197",$0.002949,0.05%
AudioCoin,"$181,042",$0.000185,0.22%
ArdCoin,"$180,331",$0.000646,0.22%
uPlexa,"$177,829",$0.000084,20.77%
Silent Notary,"$177,774",$0.000002,-4.24%
Version,"$177,097",$0.000276,0.00%
WandX,"$175,265",$0.014314,5.82%
CaixaPay,"$174,790",$0.002215,-4.33%
Primalbase Token,"$174,337",$139.47,-2.55%
Ultimate Secure Cash,"$172,794",$0.016706,-0.71%
Alpha Token,"$171,610",$0.005676,-44.49%
Monkey Project,"$171,568",$0.015968,-11.73%
Coin Lion,"$170,014",$0.005276,0.04%
LiteDoge,"$166,194",$0.000010,-5.42%
Alt.Estate token,"$166,105",$0.000229,0.02%
Graft,"$162,677",$0.000275,0.00%
eBoost,"$162,014",$0.001620,54.80%
Gentarium,"$161,528",$0.035904,-3.44%
InvestDigital,"$158,867",$0.002490,0.02%
Bethereum,"$158,090",$0.000281,19.12%
MMOCoin,"$157,430",$0.002517,50.89%
Utrum,"$154,863",$0.002390,-0.15%
eSDChain,"$154,557",$0.001581,14.23%
Goldcoin,"$153,815",$0.003692,-4.91%
Ignition,"$153,775",$0.117274,0.00%
Matchpool,"$152,773",$0.002037,0.00%
Blockpass,"$151,310",$0.000905,-1.88%
Energo,"$150,981",$0.000251,7.58%
Shadow Token,"$150,540",$0.021506,-7.55%
XcelToken Plus,"$150,186",$0.000020,-20.27%
Blur,"$149,672",$0.026582,5.99%
ZUM TOKEN,"$149,388",$0.000009,37.38%
Emerald Crypto,"$149,318",$0.007811,6.37%
WOLLO,"$149,188",$0.003465,33.98%
ZMINE,"$148,459",$0.000923,0.22%
Energycoin,"$146,777",$0.001200,7.57%
imbrex,"$146,760",$0.016945,-1.17%
DAV Coin,"$146,164",$0.000211,-9.46%
InflationCoin,"$145,466",$0.000003,47.62%
OptiToken,"$143,679",$0.005070,-0.01%
TCASH,"$143,115",$0.004066,1.39%
Arionum,"$141,893",$0.000890,-3.36%
Amino Network,"$141,861",$0.002828,-0.75%
ALL BEST ICO,"$140,641",$0.000764,389.38%
FSBT API Token,"$140,638",$0.040073,-0.82%
Veros,"$140,615",$0.114536,3.60%
Bolivarcoin,"$139,907",$0.009562,-9.95%
Helium Chain,"$139,473",$0.010245,2.59%
Autonio,"$138,083",$0.001297,0.00%
Peony,"$136,855",$0.037003,2.42%
EnergiToken,"$136,762",$0.000074,-0.73%
Bee Token,"$136,389",$0.000576,0.24%
Bitnation,"$135,015",$0.000005,10.21%
Scanetchain,"$134,940",$0.000161,1.66%
MFCoin,"$133,657",$0.006395,4.25%
Bezop,"$133,634",$0.002400,59.26%
iDealCash,"$133,374",$0.000092,0.11%
Ritocoin,"$133,128",$0.000094,0.00%
Chronologic,"$130,115",$0.136056,4.07%
Pesetacoin,"$129,286",$0.000914,21.35%
Dether,"$129,200",$0.001520,0.00%
Menlo One,"$129,032",$0.000430,0.00%
Kuende,"$128,645",$0.000144,-0.65%
SignatureChain ,"$128,547",$0.000168,8.01%
Catex Token,"$126,228",$0.000161,25.69%
Sharpay,"$126,150",$0.000120,-0.83%
HeroNode,"$126,117",$0.000115,-1.36%
Matrexcoin,"$125,487",$0.007292,13.10%
Litecoin Plus,"$124,479",$0.045227,-0.27%
Gravity,"$124,240",$0.000092,66.94%
Truegame,"$123,753",$0.001499,-0.70%
Parachute,"$122,857",$0.000257,8.77%
EvenCoin,"$122,401",$0.003917,-3.25%
bitEUR,"$121,905",$1.13,0.00%
The Currency Analytics,"$121,881",$0.000866,-0.85%
RealChain,"$121,833",$0.000240,2.19%
ZCore,"$121,651",$0.019873,7.28%
RightMesh,"$121,036",$0.001701,0.15%
Swing,"$120,929",$0.025844,0.22%
Startcoin,"$120,664",$0.002677,-3.13%
ThoreNext,"$119,906",$0.005538,2.11%
OBITS,"$117,752",$0.008122,-5.98%
Limitless VIP,"$116,280",$0.000092,-0.52%
OSA Token,"$115,450",$0.000083,-3.82%
Cobinhood,"$114,516",$0.000279,0.00%
Bigbom,"$113,789",$0.000339,-18.48%
Transcodium,"$113,182",$0.001781,-5.84%
Bitcoin CZ,"$111,565",$0.038211,1.45%
EtherSportz,"$110,341",$0.041125,0.00%
SWYFT,"$108,655",$0.153698,-9.22%
LOCIcoin,"$107,038",$0.002586,69.07%
ONOToken,"$106,775",$0.000006,0.00%
LOCIcoin,"$106,728",$0.002579,68.58%
TENA,"$106,069",$0.039689,2.59%
ebakus,"$105,960",$0.001163,16.95%
BlueCoin,"$105,431",$0.000183,0.00%
DeVault,"$104,109",$0.000415,-7.19%
Rentberry,"$103,053",$0.000342,-8.83%
Emphy,"$102,986",$0.013011,0.00%
Fox Trading,"$102,596",$0.011694,-5.89%
InsaneCoin,"$102,170",$0.004153,0.21%
Profile Utility Token,"$101,941",$0.002251,2.17%
Storiqa,"$101,161",$0.000009,0.00%
SwiftCash,"$101,062",$0.000646,16.91%
Rupiah Token,"$100,688",$0.000069,0.17%
Artis Turba,"$100,154",$0.003438,1.17%
NFX Coin,"$99,943.55",$0.000831,22.67%
Gems ,"$99,314.44",$0.000083,-7.78%
Synergy,"$98,914.17",$0.020196,0.09%
vSlice,"$98,621.82",$0.002954,-16.84%
Business Credit Alliance Chain,"$98,410.66",$0.000206,3.08%
KZ Cash,"$98,221.83",$0.062802,-0.13%
DogeCash,"$98,093.77",$0.027136,-15.39%
AdHive,"$97,696.80",$0.000744,0.12%
Daneel,"$97,575.73",$0.004820,-21.84%
PopularCoin,"$96,906.57",$0.000024,-59.93%
CROAT,"$96,143.06",$0.001200,8.57%
Quasarcoin,"$95,655.17",$0.000568,-1.08%
Innovative Bioresearch Classic,"$94,927.43",$0.000181,-19.58%
Bonpay,"$94,830.29",$0.008399,15.32%
BitClave,"$94,393.11",$0.000188,0.00%
Carboncoin,"$93,737.42",$0.000006,0.00%
GravityCoin,"$93,585.99",$0.022729,-0.13%
Verify,"$93,026.21",$0.006886,0.00%
CryptoAds Marketplace,"$91,104.03",$0.006386,-5.29%
StarterCoin,"$90,517.05",$0.000265,0.00%
MktCoin,"$89,283.76",$0.000074,-10.67%
AquariusCoin,"$89,276.47",$0.030258,0.00%
BEAT,"$89,242.97",$0.000720,0.19%
PWR Coin,"$89,108.13",$0.000009,-0.05%
Agrolot,"$88,751.54",$0.001000,0.00%
Oxycoin,"$88,632.59",$0.000095,0.00%
BoatPilot Token,"$87,726.06",$0.001188,-6.79%
Yocoin,"$87,487.22",$0.000237,-11.52%
BitBar,"$87,349.80",$1.88,-6.37%
Gossip Coin,"$86,802.85",$0.002673,9.84%
Micromines,"$86,445.86",$0.000005,26.30%
HeartBout,"$86,248.74",$0.001612,3.25%
Eroscoin,"$86,182.05",$0.000461,-27.26%
W Green Pay,"$85,315.80",$0.004839,11.44%
Civitas,"$85,297.23",$0.011168,0.59%
Relex,"$84,635.76",$0.000045,-12.03%
Naviaddress,"$84,610.28",$0.000349,-24.37%
Veles,"$84,389.31",$0.068924,-8.33%
Kuverit,"$84,380.35",$0.000040,-36.60%
Atonomi,"$83,759.30",$0.000170,9.67%
Bitfex,"$83,581.98",$0.000738,0.21%
Kobocoin,"$83,377.13",$0.003376,0.00%
MTC Mesh Network,"$83,302.20",$0.000216,-5.12%
PLAAS FARMERS TOKEN,"$82,526.33",$0.007606,-35.04%
PAL Network,"$80,951.25",$0.000185,0.22%
Bitstar,"$80,308.95",$0.003798,0.00%
XDNA,"$80,197.18",$0.011585,-1.97%
ParallelCoin,"$79,804.92",$0.253575,8.96%
Rupee,"$79,442.06",$0.002011,21.62%
Bitcoin Token,"$78,602.60",$0.008167,11.38%
Elementeum,"$78,514.55",$0.015032,3.05%
Bitcloud,"$78,081.18",$0.002307,-0.11%
SounDAC,"$78,036.77",$0.005352,-1.10%
AiLink Token,"$77,616.14",$0.000015,-3.44%
Vidulum,"$77,368.34",$0.010803,3.47%
BitSend,"$77,254.61",$0.002776,-11.75%
Photon,"$77,253.43",$0.000002,0.18%
Dropil,"$76,495.67",$0.000003,-73.11%
Vanta Network,"$75,927.77",$0.000041,0.00%
Bitradio,"$75,682.32",$0.008492,-13.59%
PlayGame,"$75,597.91",$0.000076,-3.47%
Dynamite,"$75,533.18",$0.203607,-0.48%
Unify,"$75,531.48",$0.004153,-5.22%
Garlicoin,"$75,257.62",$0.001292,-29.85%
Grimm,"$74,741.09",$0.001526,-15.63%
Pyrk,"$74,558.82",$0.013084,4.75%
Kalkulus,"$73,902.19",$0.004153,2.17%
Lethean,"$73,547.47",$0.000092,0.35%
InterValue,"$73,279.88",$0.000573,-0.26%
EtherGem,"$73,051.23",$0.003749,1.27%
LEOcoin,"$72,618.21",$0.048349,-0.01%
Ifoods Chain,"$72,554.16",$0.000029,0.00%
Universe,"$71,740.12",$0.000831,0.22%
Cashpayz Token,"$71,322.18",$0.014602,0.00%
Bitgesell,"$71,292.94",$0.024624,12.49%
Bitcoin Interest,"$71,045.78",$0.003877,0.22%
HashNet BitEco,"$71,026.17",$0.002396,18.64%
FirstCoin,"$70,952.81",$0.002274,16.38%
PENG,"$70,762.02",$0.000009,0.21%
WIZBL,"$70,214.79",$0.000468,0.00%
Signals Network,"$69,969.53",$0.000794,0.00%
Webcoin,"$69,760.24",$0.001562,-16.35%
Elcoin,"$69,317.13",$0.006184,0.22%
Zetacoin,"$68,270.37",$0.000397,-18.24%
PoSW Coin,"$68,109.62",$0.001544,0.00%
PengolinCoin,"$67,567.54",$0.006519,1.22%
Cryptonite,"$67,557.46",$0.000095,0.00%
Elysian,"$67,265.80",$0.000687,-0.22%
CyberFM,"$66,952.56",$0.000001,145.72%
MesChain,"$66,889.14",$0.000086,0.09%
Opal,"$66,204.07",$0.004368,0.00%
Hurify,"$66,048.00",$0.000274,1.01%
MicroMoney,"$65,876.42",$0.004175,-1.87%
CaluraCoin,"$65,766.64",$0.006184,0.87%
Digitalcoin,"$65,488.58",$0.001846,-30.90%
ETHplode,"$65,415.93",$0.001499,51.55%
EveriToken,"$65,414.27",$0.002893,-0.25%
Suretly,"$65,307.74",$0.276774,-5.98%
ZINC,"$65,272.12",$0.011964,38.92%
Ethereum Gold Project,"$64,590.00",$0.000011,0.21%
LIFE,"$64,308.14",$7.44e-7,-62.26%
Bata,"$63,890.42",$0.012645,-1.53%
Paragon,"$63,423.99",$0.002848,0.00%
ProxyNode,"$62,218.87",$0.000369,0.90%
Helex,"$62,032.89",$0.884166,-29.72%
SiaCashCoin,"$61,895.32",$0.000004,0.15%
Moneynet,"$61,103.05",$0.000017,0.00%
Ethereum Cash,"$61,002.88",$0.004326,0.00%
QUINADS,"$60,675.40",$0.000005,0.26%
SRCOIN,"$60,640.87",$0.000012,-20.46%
ACE (TokenStars),"$60,382.79",$0.004992,-14.15%
PiplCoin,"$60,278.77",$0.000349,-8.91%
ANON,"$60,277.87",$0.007938,24.00%
Deutsche eMark,"$59,426.45",$0.001108,-14.11%
BlockCAT,"$58,852.36",$0.007996,0.00%
MODEL-X-coin,"$58,767.34",$0.004877,0.00%
Knekted,"$58,758.24",$0.000059,18.68%
RoBET,"$58,629.74",$0.073407,0.00%
TagCoin,"$57,929.03",$0.009004,0.00%
bitBTC,"$57,477.27","$1,690.50",0.00%
Parkgene,"$56,992.13",$0.000193,0.00%
Ethersocial,"$56,858.60",$0.001267,0.00%
FUZE Token,"$56,554.17",$68.81,42.67%
Neutral Dollar ,"$56,400.11",$0.704487,0.00%
Paymon,"$56,238.53",$0.000092,0.00%
Bitsum,"$56,128.11",$0.000034,0.11%
Bitcoin Red,"$56,111.07",$0.002672,3.61%
Aditus,"$55,768.30",$0.000238,-5.30%
GCN Coin,"$55,623.95",$3.23e-7,-29.79%
GoldenPyrex,"$55,379.80",$0.005538,0.38%
Rimbit,"$54,982.48",$0.000278,0.00%
PutinCoin,"$54,860.66",$0.000046,0.79%
LuckySevenToken,"$54,472.19",$0.000830,1.50%
CryptoSoul,"$54,070.95",$0.000193,-22.56%
InvestFeed,"$53,828.91",$0.000281,0.00%
Fiii,"$53,463.42",$0.000111,1.84%
CrowdWiz,"$53,326.40",$0.012400,0.00%
Bitcoin Fast,"$53,274.85",$0.004297,-0.37%
Innovative Bioresearch Coin,"$53,166.50",$0.139205,-10.60%
Plus-Coin,"$52,530.29",$0.000112,-25.44%
LALA World,"$52,022.25",$0.000209,0.00%
PYRO Network,"$52,004.23",$0.000065,-3.20%
Niobio Cash,"$51,979.25",$0.000369,-19.50%
Kurrent,"$51,778.22",$0.000844,0.00%
Netko,"$51,609.75",$0.004909,0.00%
KanadeCoin,"$51,520.10",$0.000009,0.00%
Voise,"$51,219.40",$0.000093,0.00%
CYCLEAN,"$51,188.86",$0.000075,0.00%
INMAX,"$51,178.24",$0.032635,0.92%
Datarius Credit,"$50,947.97",$0.000365,0.00%
Taklimakan Network,"$50,885.38",$0.001108,0.21%
Bitether,"$50,751.95",$0.000895,0.00%
Evil Coin,"$50,597.00",$0.002407,0.00%
Iridium,"$50,481.36",$0.002492,-2.98%
Ultragate,"$50,450.41",$0.005538,2.00%
